,,,,,,,,Input Method,Input Method,"Web Fonts
",Web Fonts,"            i18n support (plurals, gender, grammar)",Language Selector,"            i18n support (plurals, gender, grammar)",Translation,Translation Aids,Translation Aids,Translation Aids
egl,eml,,,emiliàn e rumagnòl,eml,,,,,,,,✔,,✔,,,
ell,el,,Greek,Ελληνικά,el,,,,✔,,,,✔,,✔,,,
eng,en,,English,English,en,,,,✔,,✔,,✔,,✔,,,
eng-ca,en-ca,,English (Canada),English (Canada),,,,,,,,,✔,,✔,,,
eng-gb,en-gb,,English (Great Britain),English (Great Britain),,,,,,,,,✔,,✔,,,
epo,eo,,Esperanto,Esperanto,eo,,,,✔,,,,✔,,✔,,,
est,et,✔,Estonian,eesti,et,,,,,,✔,,✔,,✔,,,
esu,esu,,,Yup'ik,,,,,,,,,✔,,✔,,,
eus,eu,,Basque,euskara,eu,,,,,,,,✔,,✔,,,
ewe,ee,,Ewe,eʋegbe,ee,,,,,,,,✔,,✔,,,
ext,ext,,Extremaduran,estremeñu,ext,,,,,,,,✔,,✔,,,
fao,fo,,Faroese,føroyskt,fo,,,,✔,,✔,,✔,,✔,,,
fas,fa,✔,Persian,فارسی,fa,,,,,,✔,,✔,,✔,,,
fij,fj,,Fijian,Na Vosa Vakaviti,fj,,,,,,,,✔,,✔,,,
fin,fi,,Finnish,suomi,fi,,,,✔,,✔,,✔,✔,✔,,,
fit,fit,,Tornedalen Finnish,meänkieli,,,,,,,,,✔,,✔,,,
fra,fr,,French,français,fr,,,,,,✔,,✔,,✔,,,
frc,frc,,Cajun French,français cadien,,,,,,,,,✔,,✔,,,
frp,frp,,Arpitan,arpetan,frp,,,,,,,,✔,,✔,,,
frr,frr,,Northern Frisian,Nordfriisk,frr,,,,,,,,✔,,✔,,,
fry,fy,,Western Frisian,Frysk,fy,,,,,,✔,,✔,,✔,,,
ful,ff,✔,Fulah,Fulfulde,ff,,,,,,,,✔,,✔,,,
fur,fur,,Friulian,furlan,fur,,,,,,,,✔,,✔,,,
gag,gag,,Gagauz,Gagauz,gag,,,,,,,,✔,,✔,,,
gah,gah,,Alekano,Alekano,,,,,,,,,✔,,✔,,,
gan,gan,,Gan Chinese,贛語,gan,,,,,,,,✔,,✔,,,
gan-hans,gan-hans,,,赣语（简体,,,,,,,,,✔,,✔,,,
gan-hant,gan-hant,,,贛語,,,,,,,,,✔,,✔,,,
gbz,gbz,,Zoroastrian Dari,Dari,,,,,,,,,✔,,✔,,,
gcf,gcf,,Guadeloupean Creole French        ,Guadeloupean Creole French,,,,,,,,,✔,,✔,,,
gla,gd,,Gaelic; Scottish Gaelic,Gàidhlig,gd,,,,,,✔,,✔,,✔,,,
gle,ga,,Irish,Gaeilge,ga,,,,,,✔,,✔,✔,✔,,,
glg,gl,,Galician,galego,gl,,,,,,✔,,✔,,✔,,,
glk,glk,,Gilaki,گیلکی,glk,,,,,,,,✔,,✔,,,
glv,gv,,Manx,Gaelg,gv,,,,,,,,✔,,✔,,,
gom,gom,,Konkani,कोंकणी,,,,,,,,,✔,,✔,,,
gom-deva,gom-deva,,,कोंकणी,,,,,,,,,✔,,✔,,,
gom-latn,gom-latn,,,Konkani,,,,,,,,,✔,,✔,,,
got,got,,Gothic,𐌲𐌿𐍄𐌹𐍃𐌺,,,,,,,,,✔,,,,,
grc,grc,,Ancient Greek,Ἀρχαία ἑλληνικὴ,,,,,,,,,✔,,✔,,,
grn,gn,✔,Guarani,Avañe'ẽ,gn,,,,,,,,✔,,✔,,,
gsw,als,,Alemannic,Alemannisch,gsw,,,,,,,,✔,,✔,,,
guc,guc,,Wayuu,Wayúu,,,,,,,,,✔,,✔,,,
